frame,numero_pers,joint,x,y,tracking
8,1,16,1660.42,294.938,1
8,1,17,0,0,1
8,1,18,1707.57,312.364,1
8,1,19,1654.57,948.169,1
8,1,20,1672.25,953.996,1
8,1,21,1734.17,936.499,1
8,1,22,1569.31,860.019,1
8,1,23,1581.04,856.973,1
8,1,24,1657.49,880.395,1
9,0,0,362.431,362.608,0
9,0,1,318.439,433.151,0
9,0,2,256.593,442.013,0
9,0,3,250.747,547.842,0
9,0,4,309.547,550.804,0
9,0,5,383.168,418.467,0
9,0,6,441.964,500.742,0
9,0,7,374.243,530.16,0
9,0,8,362.509,624.406,0
9,0,9,318.443,627.415,0
9,0,10,318.515,756.929,0
9,0,11,339.001,886.494,0
9,0,12,403.678,618.6,0
9,0,13,397.867,742.209,0
9,0,14,400.746,856.948,0
9,0,15,342.044,347.855,0
9,0,16,365.43,347.835,0
9,0,17,303.669,362.353,0
9,0,18,0,0,0
9,0,19,459.792,871.75,0
9,0,20,456.78,859.99,0
9,0,21,386.17,871.654,0
9,0,22,386.065,924.575,0
9,0,23,365.485,927.592,0
9,0,24,336.031,904.042,0
9,1,0,1639.93,312.544,1
9,1,1,1704.74,391.912,1
9,1,2,1669.29,391.931,1
9,1,3,1657.6,489.138,1
9,1,4,1613.29,527.42,1
9,1,5,1740.01,391.97,1
9,1,6,1763.5,512.603,1
9,1,7,1657.42,556.717,1
9,1,8,1681,595.067,1
9,1,9,1642.88,594.958,1
9,1,10,1636.97,724.53,1
9,1,11,1639.89,857.036,1
9,1,12,1707.7,597.914,1
9,1,13,1707.61,745.225,1
9,1,14,1725.17,924.668,1
9,1,15,1639.99,294.917,1
9,1,16,1660.42,294.924,1
9,1,17,0,0,1
9,1,18,1707.57,312.364,1
9,1,19,1654.57,948.162,1
9,1,20,1672.23,951.289,1
9,1,21,1734.17,936.516,1
9,1,22,1569.31,860.033,1
9,1,23,1581.04,856.988,1
9,1,24,1657.49,880.422,1
10,0,0,362.432,362.609,0
10,0,1,318.377,433.15,0
10,0,2,256.611,442.02,0
10,0,3,259.466,550.723,0
10,0,4,315.321,547.869,0
10,0,5,383.068,418.421,0
10,0,6,441.962,500.857,0
10,0,7,380.173,533.354,0
10,0,8,362.52,624.41,0
10,0,9,318.44,627.416,0
10,0,10,318.513,756.96,0
10,0,11,338.995,886.479,0
10,0,12,403.689,618.607,0
10,0,13,397.856,742.222,0
10,0,14,400.752,856.939,0
10,0,15,342.058,347.841,0
10,0,16,365.417,347.83,0
10,0,17,303.724,359.608,0
10,0,18,0,0,0
10,0,19,459.741,874.618,0
10,0,20,456.766,860.006,0
10,0,21,386.151,868.787,0
10,0,22,386.089,924.594,0
10,0,23,365.504,927.605,0
10,0,24,336.024,904.036,0
10,1,0,1639.96,315.248,1
10,1,1,1704.74,391.897,1
10,1,2,1669.27,391.908,1
10,1,3,1660.42,489.042,1
10,1,4,1613.34,527.355,1
10,1,5,1740.02,391.952,1
10,1,6,1766.42,509.802,1
10,1,7,1654.64,556.774,1
10,1,8,1681.01,594.988,1
10,1,9,1645.75,592.088,1
10,1,10,1637.02,721.643,1
10,1,11,1639.89,857.048,1
10,1,12,1707.7,595.057,1
10,1,13,1707.62,742.327,1
10,1,14,1725.17,924.66,1
10,1,15,1640,294.919,1
10,1,16,1660.45,294.94,1
10,1,17,0,0,1
10,1,18,1707.57,312.359,1
10,1,19,1654.58,948.138,1
10,1,20,1672.22,951.266,1
10,1,21,1734.17,936.5,1
10,1,22,1569.31,860.022,1
10,1,23,1581.05,856.979,1
10,1,24,1657.49,880.44,1
11,0,0,362.437,362.592,0
11,0,1,318.369,433.131,0
11,0,2,259.502,441.965,0
11,0,3,262.418,550.758,0
11,0,4,321.356,539.088,0
11,0,5,380.206,418.418,0
11,0,6,439.122,503.732,0
11,0,7,386.149,547.889,0
11,0,8,362.593,624.443,0
11,0,9,321.268,627.438,0
11,0,10,318.518,756.903,0
11,0,11,339.005,886.471,0
11,0,12,403.734,621.415,0
11,0,13,397.81,742.254,0
11,0,14,400.728,856.968,0
11,0,15,342.073,347.822,0
11,0,16,365.396,347.79,0
11,0,17,306.6,359.587,0
11,0,18,0,0,0
11,0,19,462.54,874.62,0
11,0,20,456.79,860.014,0
11,0,21,386.155,871.681,0
11,0,22,386.083,924.58,0
